Hotel,Source,Text
ARIA Resort & Casino,TripAdvisor,"I went to aria to be somewhere nice to celebrate my birthday and I have to say the hotel was a perfect choice, from the 24 hour gourmet bakery to the dinner I had at catch and my room was clean and was given a great view. I will definitely stay again "
ARIA Resort & Casino,TripAdvisor,This stay was so far underneath what I expected.  The deposit alone is 150.00 a night.  But the value is not there. Staff was not friendly.  Not all but the host suck. If your not playing thousands aday then your no one. 
ARIA Resort & Casino,TripAdvisor,"Hard to get a drink while gambling, mandatory $45 a night fee for things you arent going to use. Rooms have noises and leaks. They dont care to ask you upon checkout if there was any issues either, just take your money and run"
ARIA Resort & Casino,TripAdvisor,"The room was really cold all four days we was there, we called to get it fixed an it didn’t get fixed, we did even get another room or was we asked.it was really terrible, the room was nice though an I don’t think I will stay there again"
ARIA Resort & Casino,TripAdvisor,"The Aria is perfectly located on the strip for visiting other casinos and sites nearby.  Overall, we enjoyed the property.  Food options and slot play were plentiful.  Check-in was a breeze.  We were in a Stay Well Deluxe Room with Strip View on the 24th floor.  The room was comfortable but could definitely use an upgrade, especially the carpet.  Also, many of the countertop areas in the room could have been addressed more closely by housekeeping with a dust rag.  With this said, we thoroughly enjoyed our stay considering the pandemic we are currently experiencing around the country.  "
ARIA Resort & Casino,TripAdvisor,"Very enjoyable stay. All staff were extremely nice, friendly and helpful. Rooms were in excellent condition with great views of the Las Vegas Strip. Plenty of slot machines to play. Restaurants were very clean with great tasting food, beverages and snacks."
ARIA Resort & Casino,TripAdvisor,Business trip to Vegas Hoped to enjoy the resort after working with customer - unfortunately the pool and sport area was only open between 9am and 4pm The room was nice but dirty bath Hotel stuff bored and unmotivated  In summery - average experience 
ARIA Resort & Casino,TripAdvisor,"Very unsure why this hotel has high ratings. It was extremely basic. The view was good. This hotel is on the strip but its very large,  to get to the strip its a 10 minute up and down walk. If you want to get to the bellagio or caesars its 40 minutes of walking. Food was good but very expensive. You may have to walk bar to bar to get a drink. The hotel is no smoking but people smoke alot of pot and thats all you can smell. At least on our 29th floor. The mini fridge items were about 500% overpriced, I can understand the premium but it was ridiculous. "
ARIA Resort & Casino,TripAdvisor,Thought I would like it but I didn't. Other then great restaurants to eat at I have no plans to ever return to Aria. I believe Aria should train staff to look for solutions to customer problems and empower them to be creative. Aria should train staff to be flexible and focus on making each customers experience great. 
ARIA Resort & Casino,TripAdvisor,Aria was great. With the pandemic and all of these new rules the staff was very nice and informative. I felt completely safe during my whole stay. VIP was great and even talked me into coming back in the spring time for another great experience
ARIA Resort & Casino,TripAdvisor,They don’t even provide guest with complementary water in your room! The casino machine odds are too like the machines are rigged. I would refer no one to this hotel unless you want to Go shopping at over priced designer shops. 
