Hotel,Source,Text
ARIA Resort & Casino,Expedia,"We have stayed at the ARIA exclusively for years and have always been more than happy. This time was disappointing to say the least. We checked into a “clean and sanitized” room that was so dirty we asked to be moved after our 11:00 pm check in; only to be moved to a room that not only was there dried rice as hair stuck to the side of the chair- the room controls did not work. The lights would turn off and on randomly throughout the night. We called down to the front desk 3 different times to have this looked at and after 45 min cancelled the request-deciding that eye masks were better than waiting indefinitely for maintenance to show up. As I said, ARIA has been our only choice of resorts for as long as they have been open but we will be actively looking for a new place to call…"
ARIA Resort & Casino,Expedia,Great location and very nice place to stay overall. Needs in room fridge and microwave for guests. Staff was friendly. Javier’s which is located inside was great. Staff there was friendly and food was great.
ARIA Resort & Casino,Expedia,Hotel was very clean staff was very professional and always willing to help and no problems would definitely stay there again The only bad thing I would say is that I wish there was a coffee maker in the room would’ve been great but everything else was fine
ARIA Resort & Casino,Expedia,"Great and cozy rooms comfortable mattress, I missed the buffet due to pandemic situation but it is understandable, I always stay at this hotel first time I got a rear view facing new stadium, back noise from a/c units, kind of noisy for my taste, but other than that great place "
ARIA Resort & Casino,Expedia,The whole experience was like know other during my time visiting Vegas. Thanks for make this weekend the best. I will return in January or February if it is Gods will. Next trip will be a better one I am sure.
ARIA Resort & Casino,Expedia,I was lied to insulted treated poorly and my room was never cleaned. I was promised a food and beverage credit and Free play which I was refused after I checked in.  The Valet was rude nonsensical and allowed some people privileges and some not. He threatened to tow My car and refused to give me his name. His Manager came out refused to give his name and threatened to tow my car and then asks my name!!!!! I have a Platinum and was promised free parking!!! They allowed friends and co workers to park and refused me threatened to tow me. When the spot is specifically designated for Platinum Players! ARIA Does not want you or your business!!!!
ARIA Resort & Casino,Expedia,The ARIA was the best resort experience I ever had. Many amenities and rooms are exceptionally clean. I experienced no issues at all. Staff being alert on who is allowed on elevators to the room gave me a sense of security. 
ARIA Resort & Casino,Expedia,"Another great experience at ARIA, personnel are friendly and helpful for any questions or requests and casino is very COVID conscious and polite if you aren’t following protocol that is required by MGM properties "
ARIA Resort & Casino,Expedia,Everything was ok except for the cleanliness. A film of dust coated the tables and the toilet. One of the fake eyelashes stick on my feet while I was walking on the carpet. PS: I don’t use fake eyelashes.
ARIA Resort & Casino,Expedia,Great location and COVID compliant and a variety of restaurants. I did not win any $$$ and Did not see anyone winning either. Overall a great place to stay. I will definitely stay here again. Oh and the bed was perfect!!
ARIA Resort & Casino,Expedia,Gym has limited hours. Can’t use fridge for personal water soda  Lights in room are weird.  Hard to navigate  1/2 the restaurants closed or limited hours. Staff bit friendly. Check in took forever. Won’t stay again. 
ARIA Resort & Casino,Expedia,Fair price for fair service and amenities. House keepers invading several times during my last trip to ARIA. Staff experience was fair overall. Nothing positive worth remembering or noting here. So fair is how I can done it all up.  
ARIA Resort & Casino,Expedia,"The room was absolutely beautiful, with a great view of the strip.  The bathroom was really cool and had a large shower with a bath tub right next to, but within the glass shower walls.  I was able to fill up the bath for my wife and wash my balls while she bathed, it was very romantic.  The casino has a very nice feel with friendly dealers.  I was able to walk out of there up, along with the sports bet that I placed.  I would definitely recommend this hotel and casino to friends and family."
ARIA Resort & Casino,Expedia,"Over all stay was great, checking in took a little long, room was fairly clean, with the exception of the shower floor. Everyone was friendly and willing to help. Nice hotel for a weekend getaway. I would stay again"
ARIA Resort & Casino,Expedia,First trip to Vegas in a while. Was not expecting the crowd and all additional precautions by the hotel and casino. Stay was great and views from the room could not be beat. Felt safe and comfortable from check in to check out.
ARIA Resort & Casino,Expedia,"Over time I’ve stayed at the ARIA, and have been pleasantly surprised by my experience staying there. This last trip disappointed me. The rooms are cheap due to the Covid and lack of people traveling. Room was clean besides the public hair I found in the bed. The hotel guest room floors smell of Marijuana which bothered me and the neighbors on both sides of me were externally loud. The walls seemed to be paper thin. I do appreciate the attentiveness of the staff at the hotel. But my experiences at the property have definitely shown a decline in the clientele staying at the hotel."
ARIA Resort & Casino,Expedia,My trip started off with the rude employees at check in. Then they took it upon themselves to turn off my charm thing privileges when I was at 30% of my charges and I got denied at dinner and bar. Had to call to get privileges lifted durning dinner in which I was on hold for 45 mins 
ARIA Resort & Casino,Expedia,"Rooms were very nice, casino exceptionally clean. Limited table and slots. Table limits were exceptionally high even on a sunday night. NO one was playing due to high table limits. went to different casino to gamble. "
ARIA Resort & Casino,Expedia,this was our first time staying at the ARIA.  Everything was lovely.  The room was clean.  The cleaning staff was great.  And the guests were quiet. Their pool staff was exceptional.  The Covid security made sure all the guest were abiding by the rules and made sure we knew what they were.
ARIA Resort & Casino,Expedia,"This is not my first stay with ARIA. I like this hotel because it is modern and clean. I had a special request for a refrigerator in my room for my medication and they had the refrigerator there within 15 minutes of arrival. I enjoy the Alibi, Javier's and the Lobby Bar. The only complaint I have is the strong marijuana smell throughout the hotel and guest room corridors even on non-smoking floors. I actually stayed at another property during my visit and this was not an issue so ARIA may need to take proper precautions either with better filtration or mirror other hotel protocols."
Four Seasons Hotel Las Vegas,Expedia,"My brothers and I ate lunch at the Four Seasons while in Vegas on a golf trip. It was a Sunday, so they had a brunch going that looked excellent, though a little pricey at $42. They also allowed ordering off the breakfast or lunch menus. We all ordered off the lunch menu. We had shrimp tacos, a steak sandwich (which was served with dill pickle fries) and a shrimp/scallop/pasta dish. Two of us had tap beers and the third had a glass of wine. Service was very attentive, the food was tasty, portions were generous and the setting was quite nice. The bill was $144, so you are paying a premium for what you get. If cost is not a concern, you will enjoy the Four Season."
Four Seasons Hotel Las Vegas,Expedia,"This hotel is for the discriminating guest who wishes to have a smoke free envirnoment as well as no Casino inhouse  With that said, there is direct access off the elevator to the Casino at the neighboring hotel.  You cant access the Casino easily and back into the hotel with a Four Season Hotel key.   Love the security at the hotel elevator.  Dining for breakfast, lunch and dinner is marevlous.  The bedding is luxerious.  THE place to stay in Las Vegas.  "
