Hotel,Source,Text
ARIA Resort & Casino,Yelp,"The Security guy at the pool at Aria on September 16, 2020 around 12ish was rude and obnoxious the security tone with us was very unpleasant and off putting to say the least.  It felt like he didn't want my friend or I there and we even felt attacked attacked at one point to the point where the female security had to tell him to calm down.  We literally walked into the pool area and the security yelled and said LET me see your key card NOW and that you can't bring a drink in the pool area unless it's from Aria (which my drink was from the Aria lounge bar with the Aria logo on the clear cup big as day)  and to top it off the pool at the Aria was so small.  I will not be returning to the Aria ever again.  Not to mention the entrance of the Aria is lack luster nothing grand or to run home about."
ARIA Resort & Casino,Yelp,"ARIA is one of my favorite hot spots in Las Vegas!   The Buffet at Aria is on my top 3 list!  ARIA Patisserie, though pricey, lives up to being a true french artisan pastries, and the grassfed burger at the Burger Lounge melts in your mouth!I made $5,500 on this Las Vegas trip!  :- )"
ARIA Resort & Casino,Yelp,"ARIA LAS VEGAS FOR NEW YEAR!I am so impressed with ARIA Resort & Casino!  I booked 5 days/4 nights stay at ARIA to celebrate my 10 marathons streak win in 2017 and to bring in New Year 2018!  I turbo in my custom Porsche Raptor and arrive early. The polite & friendly staff assigned me to a Deluxe King room on the 17th floor.Upon entrance into my room. I am welcome by automatic retracting curtains to a grand view of the surrounding casinos and valley, and show tunes from a 42"" flatscreen radio tv.  Holy smoke!  The entire room is automated!  Control by a tablet console located next to my king size bed with six king size pillows.  HUGE MARBLE BATHROOM with separate marble shower & tub, protected by a huge glass door. There's also a glass door separating the toilet. The tablet console can control volume from radio/tv inside bathroom as well.My New Year social calendar consists of the following:1.  Thursday night 7:00pm - BAZ STAR CROSSED LOVE at PALAZZO - VIP Table Ticket - (with separate VIP entrance. Can order drinks /or snacks during performance)2.  Friday - The Shops at Crystals3. Friday night 7:00pm - LE REVE THE DREAM at WYNN - Premier Center Stage Aisle Ticket w/Wynn's Le Buffet4.  Saturday 8:00am - Visit site of Las Vegas shooting - paying my respect and condolences5.  Brunch at ARIA's The Buffet - one of The Best!(Has dedicated VIP M Life entrance, only 15mins wait!  The other line over an hour)6.  Saturday 7:30pm - CELINE DION at CAESARS Colosseum - $300+ Main Floor Center Aisle Ticket - SHOW GOT CANCELLED - Very disappointed! C'est la vie...7. Saturday 10:00pm - JEWEL at ARIA or MARQUEE at Cosmopolitan - fell asleep after watching football 8. Sunday morning - Work on my epic poem THE MARATHON RACE at Starbucks located in front of Mandarin Oriental (ARIA Campus)9. Sunday noon - ARIA Burger Lounge for their grass fed beef & organic lemonade.10.  Sunday 7:00pm - BLUE MAN GROUP at LUXORCategory A - Center Stage Aisle Seating!For dinner, Nathan's Cheese Philly Steak & Old Time Lemonade11.  Monday morning - Breakfast of champion! ARIA Patisserie for their $6.50 Almond Croissant (2x) & $5.14 Starbucks Venti inside ARIA PromenadeFriendly ARIA staffs not once did they bother me about running around all over the place.  I was packing a lot of heat and knew that my stuffs would be safe at Aria.  When I got home on Monday, I receive an email notifying that I have been approved for M LIFE REWARDS WORLD MASTERCARD with a whopping $15,000 CREDIT LINE!  (See all my photos :- )ARIA M Life, nothing less but the best!"
ARIA Resort & Casino,Yelp,"We have stayed at the Aria Resort and Casino many times in the past, but we typically have the same issues with each visit. Check-in: You have two options, wait in a very long line for an actual human to assist you or self check-in at the kiosks. We do self check-in every time but there are always hangups and technical difficulties whether with the ID scanner or the computer lagging. This time, the computer lagged very slowly just to have the system tell us our room was not ready even though it was after 7pm. Room: The strip-view rooms are truly a gamble. If you get a high floor room, the view may be better, but all strip rooms look down at the huge white structure that hangs over the vehicle drop off area. You really don't have the ability to people watch on the strip (at least with Deluxe rooms, can't speak for corner rooms). Our room in 15010 had very dirty windows, even though the resort had just opened that week after being shutdown for Covid. The a/c also was not working properly and our room was HOT. Middle of the night, thermostat set to 65, temp was 75. Casino: Smoking is allowed, some games shut off to allow for physical distancing. Not the best gambling floor on the strip in my opinion. Nearby Cosmopolitan just seems more fun to me. Restaurants: The buffet was still closed. But the restaurants that were open had the typical rude, elitist ""you're inconveniencing me"" type of attitude by its hosts/hostesses. We tried making a reservation at Javier's Mexican inside Aria and the hostess said we had to talk to the concierge. So we called concierge and they asked us if we had spoken with front desk of Javier's lol. Essentially we got bounced back and forth and ended up going to another property altogether for dinner. Pool: The pools are nice, but they are not deep. There are pools you have to pay extra for, but they are still swarming with children. We stuck to the free pools, and although we enjoyed ourselves, the lack of umbrellas and overall shade was really tough after just a couple of hours in 101 degree heat. Servers do come around asking for drinks, but they are not consistent. We mostly had to leave the pool and get our own drinks. The pool staff accommodates to large parties (tips) but not so much with parties of 2. There are suited security officers patrolling the pools separating people from stairways of the pool and ensuring distancing. However by midday, the 25-30 yr-old groups of 12 were congregating yet no one said anything. They will tell you to wear a mask when walking up to the pool bars, but if you're in a large group, they don't say anything which doesn't make sense. Also, if you approach the pool bar for water (desert, hello), be prepared for some pushback. Some bartenders are perfectly welcoming, others will say something snarky to you.Room Service Tablet: Very cool device, can operate room controls, temperature, shades, lighting, order room service and even adjust television. However, during our stay, the room service menu only said food was available between morning and midday. So we didn't order anything in the evening. I'm not sure if this was a glitch, but it was impossible to order food through the tablet, unlike previous visits. Checkout: You can checkout in person (wait) or on your phone/tablet. We walked past an employee at the entrance wheeling our luggage out and no one asked if we needed assistance or said good-bye. There is a taxi curbside pickup outside of the vehicle drop-off area but the employee working the taxi section had no information about how long the wait was and she was not very personable. We have never had an employee of Aria approach us and ask how we are doing or if we are enjoying our stay. I can't remember one person even smiling at us or saying hello during our time here. Although the location is excellent (connected to mall) and it is very close to Chick Fil A and other affordable dining, the customer service is really lacking at Aria and we have never left feeling valued or appreciated or even wanted, sadly. You can find great deals here, but my suggestion is to keep your expectations minimal and try to just go with it. Until next time Vegas."
ARIA Resort & Casino,Yelp,"Beautiful casino, we enjoyed our stay all around. Check in was easy with the app download even though our electronic room key gave us issues and we had to go to the kiosk which was pretty slow. Staff was very helpful so we didn't mind at all. Room service is 6am to 2pm which was the only part of the stay I can complain about, not much food options at certain times of the day and night which is understandable because of the restrictions. Steak house was decent with great service and Catch was amazing with mediocre service. Casino follows the protocols, sanitized stations everywhere and even a washing station in the middle of the casino. Masks are enforced and mask stations are at every corner. I definitely felt safe.Our last night our safe would not open so we had called front desk and they sent Wil up to open our safe. He asked for my ID to verify before opening the safe and had us check inside to make sure everything is in place. He was genuinely nice and just seemed to love his job which is so rare to see. I honestly wrote this review because of him. He made my heart smile and Aria is lucky to have him in your team"
ARIA Resort & Casino,Yelp,"I was able to finally stay at the Aria Sky Suite for a weekend and boy was it worth it. They had a lounge but was closed unfortunately. But had another section that offered drinks and some snacks. The rooms in the sky suite is amazing with a fantastic view of The Strip, great technology, amazing decor, they don't have a kitchen but it does have a fridge but no microwave. The staff was very friendly and accommodating. The bed was super comfortable. I love the bathroom it was glamorous, I wish the bathtub wasn't in the middle as water was spilling over and onto the floor. The casino level is entertaining and just a great lobby and place to stay!"
ARIA Resort & Casino,Yelp,"Front desk was very nice.  Check in was quick and easy.  We had a corner double queen room and it was very clean.  Room came with a goody bag which contained two reusable masks, hand sanitizer, and two key rings that help you not touch door handles and slot machines.  Decent rooms at the price point.  I would highly consider booking here again.  All staff members we encountered were super friendly and helpful too!"
ARIA Resort & Casino,Yelp,"Let's start with parking structure. Each parking spot has a light on top. Green or red which makes it easy to find a spot.Next is the check in area. They check your temperature and directs you to the counter. It only took 10 mins to check in which is not bad. But the thing is, you have a person in front of you that's not smiling or is happy with her job. Mask or no mask, you can tell if they are smiling. The room was ok. A view of the strip was an added bonus. The pool was great and exceptional customer service from the staff there. The housekeeping people on our floor, ""Excellent"". I love the way they cleaned the room. It's like your first day in the hotel. Checking out was easy."
ARIA Resort & Casino,Yelp,"Ambiance 5Staff.         5Pricing.      4I had a great rime at the Aria with T. Great room with a wonderful shower ( tub was decent). Attentive and very friendly staff. Absolutely beautiful hotel. Loved walking the area in the morning when T was still asleep. Restaurants were all excellent, and plenty of variety. Our favorite, by far, was Bardot Brasserie. Everything there was soooo good! I'll go out of my way to go any time I'm there. Salt and Vine was very overpriced, from food to wine. Drinks were excellent, but again, overpriced. Many other fine choices for a very good meal around the area too. From fine to just seriously good, all within walking distance. If you're a higher limit gambler, you're fine, but lower betters are seriously penalized. Both here, and at other places on the strip. Table minimums were higher, and they cut your odds in various ways. Blackjack there's a forced progressing bet that is bad, roulette, they add a hotel slot, which gives another approximate 2.4% house advantage. Downtown offers better odds for lower betters. Talking to workers on the strip, it's agreed that strip hotels are banking in old timers that remember the better odds and complimentary offers will be gone soon, and the younger peopleWon't know any different.I would most definitely stay here again, but would plan my dining and gambling a bit more carefully next time."
ARIA Resort & Casino,Yelp,"I'm not one to complain really having worked in service and hospitality over 15 years, but Aria had terrible customer service. We were staying at Vdara and instructed to use the Aria pool during mid-week while the Vdara pool was closed.We spent over $150 on lunch while at the Aria pool and then we experienced the worst customer service dealing with the Aria security. We were walking back from the pool (and already wearing our masks) when we encountered security personnel from the Aria. He stopped my fiancé and told her and our 2 month year old that they could not use the lobby elevator without a room key.I explained to the ""customer service agent"" that we were coming back from the pool and that I had a room key in my swim trunks pocket.He asked me to put my shirt on, having come back from the pool, I listened immediately and put it on without any contest. Then he asked where we were staying again and my Fiancé reiterated that we were staying at the Vdara while I was digging in my pocket to show our room key.The security officer laughed in my fiancé's face and rudely tried to correct her pronunciation of ""Vdara"" by saying, ""You mean Vaaadara"".I couldn't believe this guys tone and audacity he was taking with our family.We were finally allowed to take the elevator back  down to the lobby level after being harassed and made to wait in a line (with no people in it). I immediately went to the first Aria employee (on the lobby floor) to explain our negative experience.Jason, the security guard on the lobby level, said that He heard I was refusing to put my shirt on..His officer, on the higher floor blatantly lied about our encounter to cover his own ass, and blamed us by saying we weren't complying to his ""orders"".We were then harassed by another associate, older lady, who followed us through the lobby.Again, in my 15 years in service and hospitality myself, I have never formally complained about anyone.Long story short...Don't waste you're money at the Aria with their over priced rooms, over priced food and terrible customer service."
